@W: BN132 :"c:\users\matze\documents\igloo\common\busycounter.vhd":32:8:32:9|Removing sequential instance m1.bsyCnt.state[0],  because it is equivalent to instance m1.bsyCnt.delayOut
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_1[2],  because it is equivalent to instance m1.uartout_1[0]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_1[7],  because it is equivalent to instance m1.uartout_1[5]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_1[5],  because it is equivalent to instance m1.uartout_1[1]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_cl_7[7],  because it is equivalent to instance m1.uartout_cl_6[7]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_cl_6[7],  because it is equivalent to instance m1.uartout_cl_4[7]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_cl_5[7],  because it is equivalent to instance m1.uartout_cl_3[7]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_cl_4[7],  because it is equivalent to instance m1.uartout_cl_2[7]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_cl_3[7],  because it is equivalent to instance m1.uartout_cl_1[7]
@W: BN132 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Removing sequential instance m1.uartout_cl_2[7],  because it is equivalent to instance m1.uartout_cl[7]
@W: MO160 :"c:\users\matze\documents\igloo\common\counter.vhd":23:8:23:9|Register bit m1.timoutCounter.overflow is always 0, optimizing ...
@W: MO197 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|FSM register m1.state[4] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|FSM register m1.state[1] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.state[3] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|FSM register d2.state[3] removed due to constant propagation
@W: MO160 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|Register bit d2.strb is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[7] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[6] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[5] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[4] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[3] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[2] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[1] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\uart\receiver.vhd":50:6:50:7|Register bit u1.re.dout[0] is always 0, optimizing ...
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.readcmd[1] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.state[0] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.state[5] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.readcmd[10] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|FSM register d2.state[0] removed due to constant propagation
@W: MO160 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|Register bit d2.dataIN[3] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|Register bit d2.dataIN[2] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|Register bit d2.dataIN[1] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|Register bit d2.dataIN[0] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|Register bit d1.dataIN[3] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|Register bit d1.dataIN[2] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|Register bit d1.dataIN[1] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|Register bit d1.dataIN[0] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Register bit m1.dataIN[3] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Register bit m1.dataIN[2] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Register bit m1.dataIN[1] is always 0, optimizing ...
@W: MO160 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|Register bit m1.dataIN[0] is always 0, optimizing ...
@W: MO197 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|FSM register m1.state[3] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|FSM register m1.state[0] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|FSM register m1.state[2] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.state[4] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.state[2] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.state[6] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|FSM register d2.state[5] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|FSM register d2.state[1] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|FSM register d2.state[2] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\ad7782if\ad7782ctrl.vhd":208:2:208:3|FSM register d2.state[4] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\eeprom93lc66\eeprom93lc66ctrl.vhd":367:2:367:3|FSM register d1.state[1] removed due to constant propagation
@W: MO197 :"c:\users\matze\documents\igloo\common\compctrl.vhd":81:2:81:3|FSM register m1.state[5] removed due to constant propagation
